Future Discovery Draft Trades,,,,,,,,,,,,,,,,,,,,,,
"Kevin T owns Steve's 2027 Discovery 1st, 2029 Discovery 2nd, 2031 Discovery 2nd",,,,,,,,,,,,,,,,,,,,,,
Tucker owns Kevin T's 2028 Discovery 2nd; Kevin T owns Tucker's 2027 Discovery 2nd,,,,,,,,,,,,,,,,,,,,,,
Tucker owns Kevin T's 2028 Discovery 1st,,,,,,,,,,,,,,,,,,,,,,
Kevin T owns Tucker's 2027 Discovery 1st,,,,,,,,,,,,,,,,,,,,,,
Kevin T owns Steve's 2028 Discovery 2nd,,,,,,,,,,,2026 R1,2026 R2,2027 R1,2027 R2,2028 R1,2028 R2,2029 R1,2029 R2,2030 R1,2030 R2,2031 R1,2031 R2
Kevin T owns Gaby's 2027 Discovery 2nd,,,,,,,,,,Tucker,,,Kevin T,Kevin T,,,,,,,,
Kevin T owns Steve's 2027 discovery 2nd,,,,,,,,,,Steve,,Kevin T,Kevin T,Kevin T,,Kevin T,,Kevin T,,,,Kevin T
"Kevin T owns Scott's 2027 Discovery 1st, 2027 Discovery 2nd",,,,,,,,,,KF,,,,,,,,,,,,
Kevin S owns Scott's 2026 discovery 1st,,,,,,,,,,Scott,Kevin S,,Kevin T,Kevin T,,,,,,,,
Kevin T owns Steve's 2026 discovery 2nd,,,,,,,,,,John,,,,,,,,,,,,
Scott owns Mark's 2026 discovery 2nd,,,,,,,,,,Kevin S,,,,,,,,,,,,
John owns Scott's 2028 discovery 2nd,,,,,,,,,,Mark,,Scott,,,,,,,,,,
,,,,,,,,,,Gaby,,,,Kevin T,,,,,,,,
,,,,,,,,,,Michael,,,,,,,,,,,,
,,,,,,,,,,Kevin T,,,,,Tucker,Tucker,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2025/2026,,,,,,,,,,,,,,,,,,,,,,
Round 1,,,Round 2,,,,,,,,,,,,,,,,,,,
1,John,Harry Kane,11,Kevin T,Dusan Vlahovic,,,,,,,,,,,,,,,,,
2,Steve,Rodrygo,12,Michael,Sem Steijn,,,,,,,,,,,,,,,,,
3,Kevin F,Oihan Sancet,13,Gaby,Nuno Mendes,,,,,,,,,,,,,,,,,
4,Scott,the horseman Jean-Matteo Bahoya ,14,Mark,Malik Fofana,,,,,,,,,,,,,,,,,
5,Tucker,Samu Aghehowa,15,Kevin S,Ademola Lookman,,,,,,,,,,,,,,,,,
6,Kevin S,Bradley Barcola,16,Tucker,Emanuel Emegha,,,,,,,,,,,,,,,,,
7,Mark,Serhou Guirassy,17,Kevin T,Victor Boniface,,,,,,,,,,,,,,,,,
8,Gaby,Desire Doue,18,Kevin F,Fermin Lopez,,,,,,,,,,,,,,,,,
9,Michael,Can Uzun,19,Mark,Julian Alvarez,,,,,,,,,,,,,,,,,
10,Kevin T,Michael Olise,20,Gaby,Marcus Thuram,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2024/2025,,,,,,,,,,,,,,,,,,,,,,
Round1,,,Round 2,,,,,,,,,,,,,,,,,,,
1,Gaby,Osimhen,11,John,Johan Bakayoko,,,,,,,,,,,,,,,,,
2,Mark,Xavi Simons,12,Michael,Santi Gimenez,,,2024 Discovery Trades,,,,,,,,,,,,,,
3,John,Harry Kane,13,Kevin T,Vlahovic,,,Michael owns Steve's 2024 discovery 2nd,,,,,,,,,,,,,,
4,Scott,Benjamin Sesko,14,Kevin S,Jonathan David,,,John owns Kevin F 2024 discovery 2nd,,,,,,,,,,,,,,
5,John,Lois Openda,15,Tucker,Frenkie De Jong,,,Tucker owns Marks 2024 discovery 2nd,,,,,,,,,,,,,,
6,Tucker,Elye Wahi,16,Michael,Pedro Goncalves,,,Kevin owns Scotts 2024 discovery 2nd,,,,,,,,,,,,,,
7,Kevin S,Jamal Musiala,17,Kevin T,Lautaro Martinez,,,John owns Steve's 2024 discovery 1st,,,,,,,,,,,,,,
8,Kevin T,Viktor Gyokeres,18,John,Brian Brobbey,,,,,,,,,,,,,,,,,
9,Michael,Victor Boniface,19,Tucker,Rodrygo,,,,,,,,,,,,,,,,,
10,Kevin F,Nico Williams,20,Gaby,Ademola Lookman,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2023/24,,,,,,,,,,,,,,,,,,,,,,
Round1,,,Round 2,,,,,,,,,,,,,,,,,,,
1,Mark,Musiala,11,Michael,Dani Olmo,,,,,,,,,,,,,,,,,
2,Tucker,Lautaro Martinez,12,Scott,Nico Williams,,,,,,,,,,,,,,,,,
3,Steve,Kvaratskhelia,13,Kevin S,Rafael Leao,,,,,,,,,,,,,,,,,
4,John,Tammy Abraham,14,Kevin F,Vinicius Jr,,,,,,,,,,,,,,,,,
5,Gaby,Vlahovic,15,Kevin T,Mbappe,,,,,,,,,,,,,,,,,
6,Kevin T,Osimhen,16,Gaby,Thiago Almada,,,,,,,,,,,,,,,,,
7,Kevin F,Florian Wirtz,17,Michael,Johan Bakayoko,,,,,,,,,,,,,,,,,
8,Kevin S,Jonathan David,18,Steve,Ousmane Dembele,,,,,,,,,,,,,,,,,
9,Scott,Sesko,19,Tucker,Brian Brobbey,,,,,,,,,,,,,,,,,
10,Tucker,Mathys Tel,20,Mark,Xavi Simons,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Kevin S? owns Scott 2025 discovery 2nd,,,"John owns rights to Steve's 2024 Discovery 1st Round, or 2025 2nd round depending on Luis Diaz",,,,,,,,,,,,,,,,,,
,Michael owns Steve's 2024 discovery 2nd,,,,,,,,,,,,,,,,,,,,,
,John owns Kevin F 2024 discovery 2nd,,,,,,,,,,,,,,,,,,,,,
,Gaby owns Tuckers 2025 discovery 2nd,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Round 1,,,,Round 2,,,,,,,,,,,,,,,,,,
2022/2023,,,,,,,,,,,,,,,,,,,,,,
1,Tucker,Florian Wirtz,,11,Steve,Matheus Cunha,,Michael owns Kevin T's 2022 discovery 2nd,,,,,,,,,,,,,,
2,Gaby,Musiala,,12,Michael,Neymar,,John owns Kevin S 2022 discovery 2nd,,,,,,,,,,,,,,
3,Steve,Rafael Leao,,13,Scott,Mudryk,,Tucker owns Michael's 2022 2nd,,,,,,,,,,,,,,
4,Kevin S,Osimhen,,14,Kevin F,Federico Valverde,,Steve owns John's 2022 discovery 2nd,,,,,,,,,,,,,,
5,Michael,Nkunku,,15,Mark,Cody Gakpo,,Steve owns Scott's 2022 discovery 1st,,,,,,,,,,,,,,
6,Mark,Moussa Diaby,,16,Tucker,Patril Schick,,,,,,,,,,,,,,,,
7,Kevin F,Barella,,17,John,Tammy Abraham,,Michael owns John's 2023 discovery 2nd,,,,,,,,,,,,,,
8,Steve,Joao Felix,,18,Steve,Lautaro Martinez,,,,,,,,,,,,,,,,
9,Kevin T,Pedro Goncalves,,19,Gaby,Chiesa,,,,,,,,,,,,,,,,
10,John,Goncalo Ramos,,20,Tucker,Pefok,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Kevin owns Scott 2025 discovery 2nd,,,,,,,,,,,,,,,,,,,,,
,Michael owns John 2023 discovery 2nd,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2021/2022,,,,,,,,,,,,,,,,,,,,,,
1,Scott,Erling Haaland,,11,Michael,Dusan Vlahovic,,,,,,,,,,,,,,,,
2,Michael,Robert Lewandowski,,12,Gaby,Kylian Mbappe,,,,,,,,,,,,,,,,
3,Steve,Lautaro Martinez,,13,Kevin T,Noni Madueke,,,,,,,,,,,,,,,,
4,Kevin F,Pedri,,14,John,Mikel Oyarzabal,,,,,,,,,,,,,,,,
5,Michael,Karim Adeyemi,,15,John,Houssem Aouar,,,,,,,,,,,,,,,,
6,John,Leroy Sane,,16,Tucker,Antony,,,,,,,,,,,,,,,,
7,John,Jonathan David,,17,Kevin F,Alexander Isak,,,,,,,,,,,,,,,,
8,Kevin T,Pedro Goncalves,,18,Steve,Florian Wirtz,,,,,,,,,,,,,,,,
9,Gaby,Giovanni Reyna,,19,Steve,Marco Asensio,,,,,,,,,,,,,,,,
10,Steve,Jude Bellingham,,20,Scott,Domenico Berardi,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2020/2021,,,,,,,,,,,,,,,,,,,,,,
1,Gaby,Jadon Sancho,,11,Michael,Darwin Nunez,,,,,,,,,,,,,,,,
2,John,Lionel Messi,,12,Steve,David Neres,,,,,,,,,,,,,,,,
3,Michael,Erling Haaland,,13,Kevin T,Donyell Malen,,,,,,,,,,,,,,,,
4,Michael,Kylian Mbappe,,14,Kevin S,Leon Bailey,,,,,,,,,,,,,,,,
5,Kevin F,Houssem Aouar,,15,Scott,Big Razz Lukaku from Inter,,,,,,,,,,,,,,,,
6,Scott,Mikel Oyarzabal,,16,Kevin F,Antoine Griezmann,,,,,,,,,,,,,,,,
7,Kevin S,Paulo Dybala,,17,Tucker,Wout Weghorst,,,,,,,,,,,,,,,,
8,Kevin T,Neymar,,18,Sam,Cristiano Ronaldo,,,,,,,,,,,,,,,,
9,Steve,Dayot Upamecano,,19,John,Florian Thauvin,,,,,,,,,,,,,,,,
10,Michael,Lautaro Martinez,,20,Gaby,Wissam Ben Yedder,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2019/2020,,,,,,,,,,,,,,,,,,,,,,
1,Sam,Jadon Sancho,,9,Michael,Wout Weghorst,,,,,,,,,,,,,,,,
2,Kevin S,Paulo Dybala,,10,Steve,Kai Havertz,,,,,,,,,,,,,,,,
3,Scott,Bruno Fernandes,,11,Tucker,Josef Martinez,,,,,,,,,,,,,,,,
4,Kevin F,Mikel Oyarzabal,,12,Kevin T,Memphis Depay,,,,,,,,,,,,,,,,
5,Michael,Victor Osimhen,,13,Kevin F,Fabian Ruiz,,,,,,,,,,,,,,,,
6,Tucker,Timo Werner,,14,Scott,Erling Haaland,,,,,,,,,,,,,,,,
7,Steve,Mauro Icardi,,15,Kevin S,Gareth Bale,,,,,,,,,,,,,,,,
8,Michael,Hakim Ziyech,,16,Sam,None,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2018/2019,,,,,,,,,,,,,,,,,,,,,,
1,Scott,Mauro Icardi,,9,Michael,Krzysztof Piatek,,,,,,,,,,,,,,,,
2,Sam,Gareth Bale,,10,Steve,Jadon Sancho,,,,,,,,,,,,,,,,
3,Kevin T,Nicolas Pepe,,11,Tucker,Adrien Rabiot,,,,,,,,,,,,,,,,
4,Kevin S,Nabil Fekir,,12,Kevin F,Landon Donovan,,,,,,,,,,,,,,,,
5,Kevin F,Matias Vargas,,13,Kevin S,Miguel Almiron,,,,,,,,,,,,,,,,
6,Tucker,Christian Pulisic,,14,Kevin T,Lucas Paqueta,,,,,,,,,,,,,,,,
7,Steve,Kylian Mbappe,,15,Sam,Neymar,,,,,,,,,,,,,,,,
8,Michael,Paulo Dybala,,16,Scott,Andre Silva,,,,,,,,,,,,,,,,